epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11523,0.69282,0.34939,0.89844,0.97177,0.97681,0.98663,0.84221,0.60622,0.27181,0.87653,0.005842,0.005842,0.005842
44,11783.1,0.69498,0.34926,0.90165,0.97284,0.97626,0.98615,0.84288,0.60605,0.27217,0.87638,0.005743,0.005743,0.005743
45,12036.7,0.693,0.34815,0.89791,0.98013,0.96863,0.98672,0.84309,0.60567,0.27169,0.87601,0.005644,0.005644,0.005644
46,12288.7,0.68727,0.34831,0.89772,0.98181,0.96741,0.98711,0.84421,0.60535,0.27089,0.87543,0.005545,0.005545,0.005545
47,12539.8,0.69033,0.34723,0.89904,0.98085,0.96826,0.9867,0.84379,0.60536,0.27016,0.87554,0.005446,0.005446,0.005446
48,12790.9,0.68777,0.34441,0.8969,0.97462,0.97508,0.98669,0.84307,0.60492,0.26929,0.87533,0.005347,0.005347,0.005347
49,13044.6,0.68811,0.34097,0.89954,0.97462,0.97491,0.98583,0.84216,0.60513,0.26898,0.87552,0.005248,0.005248,0.005248
50,13301.6,0.68331,0.34051,0.89571,0.97338,0.97685,0.98585,0.84257,0.60505,0.26895,0.87565,0.005149,0.005149,0.005149
51,13560.6,0.6826,0.34108,0.89614,0.97283,0.97613,0.98578,0.84256,0.60484,0.26844,0.87568,0.00505,0.00505,0.00505
52,13828.1,0.68319,0.33855,0.89683,0.97249,0.97678,0.98636,0.84251,0.6048,0.26856,0.87571,0.004951,0.004951,0.004951
53,14099.3,0.68044,0.33543,0.89705,0.97248,0.97661,0.98647,0.84284,0.60484,0.26811,0.87584,0.004852,0.004852,0.004852
54,14381,0.6831,0.33752,0.8981,0.97232,0.97647,0.98673,0.84367,0.6045,0.26795,0.87584,0.004753,0.004753,0.004753
55,14636.4,0.68181,0.33643,0.89915,0.97151,0.97647,0.98692,0.84303,0.60468,0.26767,0.87606,0.004654,0.004654,0.004654
56,14892.6,0.67976,0.334,0.89473,0.97245,0.97647,0.9872,0.84253,0.60453,0.26792,0.87593,0.004555,0.004555,0.004555
57,15146.7,0.67954,0.33258,0.89269,0.98019,0.96901,0.98711,0.84247,0.60441,0.2678,0.87592,0.004456,0.004456,0.004456
58,15400,0.67615,0.33167,0.89302,0.97992,0.96863,0.98667,0.8423,0.60425,0.26733,0.87565,0.004357,0.004357,0.004357
59,15653.8,0.67476,0.33185,0.88988,0.98076,0.96863,0.98657,0.842,0.60406,0.26695,0.87554,0.004258,0.004258,0.004258
60,15931.4,0.6742,0.32843,0.89413,0.98075,0.96826,0.98651,0.84232,0.6038,0.26677,0.87547,0.004159,0.004159,0.004159
61,16242.9,0.67771,0.33025,0.89116,0.98108,0.96841,0.98659,0.84287,0.60384,0.26622,0.87547,0.00406,0.00406,0.00406
62,16494,0.67608,0.32887,0.89225,0.98093,0.96826,0.9859,0.84226,0.6035,0.26606,0.87539,0.003961,0.003961,0.003961
63,16743.7,0.67348,0.32653,0.89141,0.98109,0.96849,0.98617,0.84377,0.6032,0.26556,0.87531,0.003862,0.003862,0.003862
64,16993,0.66986,0.32357,0.89378,0.98109,0.9685,0.98631,0.84436,0.60311,0.2652,0.87529,0.003763,0.003763,0.003763
65,17242.5,0.66967,0.32346,0.88928,0.98089,0.96826,0.98597,0.84461,0.60322,0.26475,0.87522,0.003664,0.003664,0.003664
66,17492.8,0.66884,0.32223,0.89128,0.98084,0.96826,0.98615,0.84423,0.60299,0.26463,0.875,0.003565,0.003565,0.003565
67,17740.9,0.66839,0.32236,0.89137,0.98072,0.96849,0.98623,0.8446,0.60275,0.26416,0.875,0.003466,0.003466,0.003466
68,17989.5,0.66457,0.31936,0.88757,0.98072,0.9685,0.98684,0.84462,0.60282,0.26393,0.87491,0.003367,0.003367,0.003367
69,18238.3,0.66295,0.31945,0.88291,0.98071,0.96844,0.98668,0.84518,0.60258,0.26397,0.87459,0.003268,0.003268,0.003268
70,18487.2,0.6647,0.31734,0.88893,0.98071,0.96844,0.98707,0.84522,0.60239,0.26395,0.87441,0.003169,0.003169,0.003169
71,18740.1,0.66392,0.31816,0.88962,0.98062,0.96863,0.98688,0.84558,0.60209,0.26353,0.87435,0.00307,0.00307,0.00307
72,18993.2,0.65936,0.31599,0.88337,0.98074,0.96863,0.98669,0.84494,0.60201,0.2633,0.87413,0.002971,0.002971,0.002971
73,19246.8,0.65917,0.31108,0.88806,0.98146,0.9686,0.98702,0.84497,0.60192,0.26308,0.87408,0.002872,0.002872,0.002872
74,19499.8,0.65548,0.31062,0.88567,0.98153,0.96826,0.98713,0.84525,0.60185,0.26243,0.87389,0.002773,0.002773,0.002773
75,19749.7,0.65867,0.31088,0.8875,0.98112,0.96863,0.98712,0.84517,0.6018,0.2624,0.87382,0.002674,0.002674,0.002674
76,19998.2,0.65524,0.30842,0.88996,0.98146,0.96861,0.98716,0.84526,0.60191,0.26253,0.87376,0.002575,0.002575,0.002575
77,20247.5,0.65689,0.30834,0.8896,0.98109,0.96845,0.98721,0.84544,0.6017,0.26259,0.8737,0.002476,0.002476,0.002476
78,20496.6,0.65472,0.30573,0.88597,0.98108,0.96834,0.9872,0.84552,0.60172,0.26192,0.87357,0.002377,0.002377,0.002377
79,20746.7,0.65418,0.30609,0.88692,0.98108,0.96829,0.9871,0.84566,0.60154,0.26175,0.87344,0.002278,0.002278,0.002278
80,20996.3,0.6497,0.30304,0.88502,0.98108,0.9683,0.98712,0.84598,0.60152,0.26171,0.87346,0.002179,0.002179,0.002179
81,21245.4,0.65008,0.30221,0.88932,0.98141,0.96826,0.98698,0.84615,0.6015,0.26142,0.87342,0.00208,0.00208,0.00208
82,21493.9,0.64864,0.29871,0.88852,0.98174,0.96826,0.98709,0.8462,0.60142,0.26155,0.87344,0.001981,0.001981,0.001981
83,21741.7,0.64779,0.30004,0.88481,0.98182,0.96808,0.98709,0.84644,0.60132,0.26122,0.87334,0.001882,0.001882,0.001882
84,21990.1,0.64632,0.29752,0.88623,0.98168,0.96789,0.98703,0.84605,0.60104,0.26095,0.87327,0.001783,0.001783,0.001783
85,22237.3,0.64407,0.2965,0.88499,0.98156,0.96789,0.98704,0.84564,0.60081,0.26104,0.87319,0.001684,0.001684,0.001684
86,22488.6,0.64023,0.29458,0.88403,0.98132,0.96789,0.98712,0.84576,0.60065,0.26099,0.87319,0.001585,0.001585,0.001585
87,22741.4,0.64009,0.29318,0.88577,0.98107,0.96787,0.98712,0.84566,0.60048,0.26084,0.87324,0.001486,0.001486,0.001486
88,22993.5,0.63676,0.29032,0.88362,0.98056,0.96789,0.98684,0.84622,0.60067,0.26055,0.87329,0.001387,0.001387,0.001387
89,23245.6,0.6346,0.29024,0.88175,0.98023,0.96789,0.98647,0.84595,0.60061,0.26042,0.87325,0.001288,0.001288,0.001288
90,23499.7,0.63131,0.28613,0.87945,0.97994,0.96789,0.9864,0.84594,0.60058,0.26034,0.87326,0.001189,0.001189,0.001189
91,23750.9,0.61331,0.26801,0.87411,0.98022,0.96789,0.98633,0.84531,0.60041,0.26005,0.87314,0.00109,0.00109,0.00109
92,23992.2,0.61052,0.2663,0.86961,0.98033,0.96768,0.98658,0.84627,0.60015,0.25971,0.87298,0.000991,0.000991,0.000991
93,24229.7,0.60836,0.26521,0.86579,0.9805,0.96751,0.98695,0.84711,0.60029,0.25933,0.87272,0.000892,0.000892,0.000892
94,24463.2,0.6069,0.26328,0.86797,0.98058,0.96751,0.98728,0.84777,0.59991,0.25868,0.87255,0.000793,0.000793,0.000793
95,24696.3,0.6039,0.25967,0.86343,0.97976,0.96826,0.98739,0.84803,0.60001,0.25833,0.8723,0.000694,0.000694,0.000694
96,24930.7,0.6025,0.25879,0.86635,0.97925,0.969,0.98729,0.84814,0.60001,0.25771,0.87211,0.000595,0.000595,0.000595
97,25165.5,0.60011,0.25503,0.87098,0.97924,0.96883,0.9872,0.84818,0.59993,0.25725,0.87198,0.000496,0.000496,0.000496
98,25400.3,0.59559,0.25161,0.87332,0.97958,0.96863,0.9872,0.84847,0.59986,0.25687,0.87196,0.000397,0.000397,0.000397
99,25634.4,0.59629,0.25081,0.86806,0.97529,0.97291,0.98713,0.84848,0.59981,0.25646,0.87185,0.000298,0.000298,0.000298
100,25868,0.59447,0.24801,0.86878,0.9753,0.97331,0.98729,0.84843,0.59976,0.25624,0.87174,0.000199,0.000199,0.000199
